symmetric,encoder_macs,decoder_macs,encoder_params,decoder_params,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,0,2.3674526,18.171434,4.660254764556882,0.80139285,1.0231425
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,0,2.1699686,17.696333,3.3970832824707013,0.7576111,0.9912276
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,1,2.7873805,21.930553,5.729979753494255,0.83808595,1.1492589
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,1,3.4115372,31.86726,4.289305973052974,0.878519,1.3171561
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,2,2.7777898,25.86581,4.009716987609861,0.80393463,1.1709679
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,2,2.3708665,18.972422,3.76326389312744,0.8309359,0.9933371
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,3,3.0213614,29.650335,3.578303408622741,0.83095163,1.2271625
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,3,2.9813712,28.900326,4.279715776443475,0.8166396,1.236148
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,4,3.4646757,28.37172,6.349990940093969,0.9987062,1.2500321
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,4,2.0718174,16.748915,3.8297850131988516,0.78312737,0.9681981
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,5,2.6260238,26.721588,3.043431401252745,0.7592103,1.1409266
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,5,2.6470144,24.045185,4.180045223236082,0.8381898,1.1036865
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,6,3.2212791,26.449268,5.165438508987426,0.90018636,1.2563893
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,6,2.187545,22.048409,2.844691467285156,0.71216935,1.0095628
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,7,2.7780979,26.669231,3.814300203323364,0.79572636,1.1885875
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,7,3.26816,30.662151,4.921667432785031,0.93055177,1.218467
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,8,2.8985546,29.505545,3.1987905263900744,0.7811959,1.2126195
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,8,3.277595,27.905724,4.803473520278913,0.9407682,1.1829005
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,9,2.7291434,25.526947,3.7162303209304772,0.82794863,1.1451439
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,9,3.4500208,29.353577,6.561736106872549,0.911044,1.2905074
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,10,3.5161438,35.169186,5.024425172805764,0.89074343,1.2989287
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,10,2.6850688,21.609503,4.538123321533199,0.86796635,1.0698757
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,11,2.6833138,23.9449,4.981403493881225,0.80204314,1.1489455
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,11,3.0265896,27.801529,4.327200937271118,0.85616606,1.2040299
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,12,2.3697803,18.194908,4.824943542480467,0.78229886,1.0553484
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,12,1.9482297,16.20391,3.276703143119806,0.7392827,0.91074675
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,13,2.5079732,24.236301,2.7471414804458574,0.72331446,1.1359476
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,13,3.3457377,26.431244,5.727402734756469,0.97419757,1.2197093
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,14,3.3120604,22.82223,6.712848711013793,0.99973625,1.1533118
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,14,2.1311963,19.108458,3.3945962429046572,0.7383759,0.9794049
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,15,3.0932622,31.362772,4.218193101882929,0.79115146,1.263947
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,15,3.7428818,18.116777,8.336464023590084,1.1743914,1.1800891
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,16,2.3494618,21.974157,3.920103144645688,0.7157827,1.1068118
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,16,4.2171135,36.263596,5.866124868392941,1.06894,1.4150728
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,17,2.6091273,26.150757,3.086251425743103,0.75058657,1.1558577
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,17,3.7959301,30.845007,5.631532907485959,1.007589,1.3172523
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,18,2.9992535,31.767117,3.464285302162167,0.78724027,1.2290304
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,18,2.7469227,25.036781,4.580856657028193,0.858035,1.1242309
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,19,2.6243489,25.117092,3.7229475975036617,0.7450651,1.1469195
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,19,2.952,27.562563,3.9023852825164784,0.84299755,1.1987599
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,20,2.8822963,28.621292,3.5181623935699444,0.7957911,1.2172585
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,20,2.0384793,19.322716,2.6570740699768054,0.68436444,1.0022588
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,21,2.5991163,23.73215,3.9554354906082154,0.79583615,1.0941947
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,21,3.3342237,30.494745,4.894072961807249,0.8714673,1.2864971
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,22,2.761249,25.486153,3.9263734579086265,0.81688046,1.1507016
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,22,3.2707093,29.66268,6.216290140151964,0.88157094,1.289903
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,23,2.9969854,26.872171,5.213925075531,0.8847182,1.1688912
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,23,3.755542,27.56299,6.96636252403258,1.0388852,1.2851273
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,24,2.5409603,25.148252,3.646139192581176,0.75543153,1.1128775
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,24,2.8791816,25.3128,4.620826148986813,0.84157896,1.169041
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,25,3.2524776,28.934547,4.946693611145017,0.8681283,1.2779292
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,25,4.009919,37.149773,6.106987762451171,0.98895925,1.4173398
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,26,2.8268464,26.176682,4.22160444259643,0.82050306,1.1791164
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,26,3.7384555,28.695953,6.838844728469841,0.9706231,1.3411523
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,27,3.3820667,33.709133,4.718982744216915,0.88763005,1.3123974
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,27,3.2401257,27.158434,4.67826447486877,0.9122802,1.2388813
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,28,2.6264324,23.265432,3.7838330507278433,0.8148601,1.1195126
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,28,1.6910914,8.142729,3.9795924186706526,0.79370844,0.7695504
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,29,2.5248318,23.244024,3.96147613525389,0.7736292,1.0928311
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,29,3.1122725,24.854416,5.658147144317615,0.93732584,1.1839945
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,30,3.7165558,37.16537,5.138387155532835,0.9361256,1.3565354
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,30,2.7977815,26.374775,4.025475502014155,0.820615,1.167713
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,31,2.4093728,21.282658,3.7915163040161084,0.7733163,1.0599041
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,31,3.152184,28.510845,4.580687618255614,0.8767169,1.2097311
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,32,2.9231346,27.8165,3.734992575645445,0.7917337,1.2445234
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,32,1.8078833,12.456426,3.6544515848159613,0.7462092,0.86109394
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,33,3.3791783,31.061497,4.59608368873596,0.9104419,1.2976499
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,33,3.3090465,28.695244,4.908829879760737,0.9362969,1.2291926
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,34,3.2734213,33.682014,3.419930839538573,0.820212,1.3084772
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,34,4.4215307,38.023666,8.561988162994366,1.0891619,1.4427129
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,35,2.8463588,20.58492,5.335865211486814,0.96381074,1.0685997
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,35,3.0127695,27.523787,4.5126282215118305,0.8533312,1.1905032
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,36,3.3690364,32.629272,4.435371208190913,0.8960292,1.2590151
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,36,3.8601506,35.16306,5.312987422943105,0.9939977,1.3670776
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,37,2.1423688,19.71354,2.8815897941589306,0.7098497,1.0231149
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,37,1.9195609,15.776543,3.25650506019592,0.7530208,0.8783268
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,38,2.3076797,23.6327,2.9579544305801346,0.7464578,1.0357472
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,38,3.4264026,29.834824,4.846841430664052,0.90255725,1.3029227
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,39,2.583172,25.67826,3.447405409812925,0.7391034,1.1481788
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,39,3.1457412,30.173914,4.264652061462401,0.8651795,1.2158555
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,40,3.2944736,28.153046,5.29172725677489,0.9487249,1.2253734
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,40,1.8320018,13.66482,3.4287396430969226,0.75491494,0.8689622
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,41,3.0542326,30.393415,3.5848309040069517,0.79582095,1.2547603
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,41,3.1669655,33.786407,3.199230360984801,0.76784825,1.3140193
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,42,2.5873866,26.32003,3.0990445613861053,0.74471796,1.1385485
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,42,3.45775,29.880182,4.583602905273428,0.8863837,1.3312638
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,43,2.785982,27.784811,3.2794038534164365,0.76328784,1.1979848
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,43,2.5970192,21.044195,4.0098163127899165,0.8667931,1.0333998
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,44,3.0626926,26.420006,4.9479864597320535,0.92906183,1.1724783
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,44,3.189655,28.942583,4.850758743286132,0.9011098,1.2012862
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,45,3.5470312,37.604034,4.642136430740352,0.856692,1.3535477
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,45,2.8691108,24.384073,4.589348125457762,0.85154265,1.1473033
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,46,2.7803614,24.463825,3.4653156280517576,0.80847776,1.1624154
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,46,3.3752055,34.716393,4.222164845466606,0.84943515,1.3182371
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,47,2.736847,28.598862,3.004550218582152,0.75888187,1.1726594
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,47,2.8646598,26.03005,4.317149734497067,0.85507226,1.1479357
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,48,3.461745,35.506054,5.302298402786241,0.8624797,1.334247
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,48,2.4666855,19.776821,4.670024108886715,0.80848205,1.0489148
True,6250,6250,6325,6400,100,25,3.5714285714285716,1,49,2.3399208,19.13687,4.159457731246939,0.78591365,1.0435123
False,2500,6250,2525,6400,100,25,3.5714285714285716,1,49,2.6458025,19.614466,6.008891630172725,0.9339199,1.0552115
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,0,2.9705694,29.47497,3.9608690738677903,0.8493079,1.2077348
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,0,3.868627,36.429077,5.26910982131958,0.9617145,1.3676037
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,1,2.9287448,25.906021,5.187443876266478,0.8402739,1.1943429
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,1,2.710167,25.385141,3.6324762344360293,0.84122145,1.1298147
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,2,2.0952938,17.476566,3.3207845449447633,0.7439069,0.973857
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,2,4.170974,35.416733,7.104457092285153,1.0892651,1.3902749
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,3,2.1532898,13.73998,3.7695663452148436,0.78423977,0.97972214
