symmetric,input_dim,latent_dim,target_ratio,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,128,64,2,2.0,2,0,1.586061,4.9285073,5.259860420227041,0.7855927,0.74838984
False,128,64,2,2.0,2,0,1.3810791,3.968983,3.284899330139153,0.7686602,0.61492133
True,128,64,2,2.0,2,1,1.4464277,3.6861594,3.8580283164978013,0.7685711,0.6840043
False,128,64,2,2.0,2,1,2.4839408,6.511448,7.150605583190918,1.0251358,0.8837366
True,128,64,2,2.0,2,2,1.6378918,5.5746593,4.9936908721923805,0.7901967,0.73115826
False,128,64,2,2.0,2,2,1.506966,2.4946332,4.8045096397399885,0.87618184,0.5613582
True,128,64,2,2.0,2,3,1.7794746,3.867371,5.140073394775389,0.9277593,0.67614424
False,128,64,2,2.0,2,3,1.9480813,6.080478,5.740392684936512,0.896815,0.79384446
True,128,64,2,2.0,2,4,1.7795858,2.8470914,5.44058732986449,0.9494565,0.60337096
False,128,64,2,2.0,2,4,2.005665,5.555547,6.14822549819946,0.88939273,0.81335324
True,128,64,2,2.0,2,5,1.5860337,5.868506,4.445194053649899,0.7809642,0.7256744
False,128,64,2,2.0,2,5,2.2588286,5.3566065,6.203892135620109,0.99198127,0.79515636
True,128,64,2,2.0,2,6,1.4932151,2.940956,5.012981319427488,0.8334429,0.631343
False,128,64,2,2.0,2,6,2.13348,6.1112275,8.456827545166,0.92416054,0.8257514
True,128,64,2,2.0,2,7,1.4587253,3.6852093,4.092267990112305,0.8089758,0.6387093
False,128,64,2,2.0,2,7,1.507387,3.7868204,5.599622154235839,0.8236614,0.6411597
True,128,64,2,2.0,2,8,1.6930232,2.6879826,5.906458473205563,0.933529,0.6209019
False,128,64,2,2.0,2,8,2.626002,7.5439367,7.105672836303706,1.0201619,0.95251864
True,128,64,2,2.0,2,9,1.0889059,2.321762,2.948601627349853,0.7350752,0.51337147
False,128,64,2,2.0,2,9,1.8045485,4.758294,5.173017311096191,0.8556462,0.7317532
True,128,64,2,2.0,2,10,1.6959784,3.5860672,5.478731727600096,0.871974,0.6862932
False,128,64,2,2.0,2,10,2.0789096,5.3500233,6.3166305541992,0.935434,0.7751806
True,128,64,2,2.0,2,11,1.6935105,4.6845045,4.839586067199702,0.83407444,0.7239237
False,128,64,2,2.0,2,11,1.5897613,3.9119976,4.612638664245602,0.84627944,0.65149987
True,128,64,2,2.0,2,12,1.5488031,3.6025445,4.479668426513672,0.84007335,0.64375365
False,128,64,2,2.0,2,12,2.547344,9.099057,9.162650489807108,0.9705185,0.95228505
True,128,64,2,2.0,2,13,1.3078468,2.9001405,4.142321968078613,0.78331745,0.5956238
False,128,64,2,2.0,2,13,2.0970652,3.5952501,7.176140022277831,1.0199106,0.71603835
True,128,64,2,2.0,2,14,1.602791,3.8234642,6.321710395812981,0.8027637,0.6898854
False,128,64,2,2.0,2,14,2.4076889,5.06899,7.5329154968261705,1.0452801,0.7700594
True,128,64,2,2.0,2,15,2.4325805,3.5677235,7.238265800476072,1.1301317,0.738033
False,128,64,2,2.0,2,15,1.5606768,3.4654853,4.344184970855708,0.8560185,0.6222202
True,128,64,2,2.0,2,16,1.3023269,2.4566634,4.483586120605467,0.79930985,0.5734026
False,128,64,2,2.0,2,16,1.4405901,4.1055374,3.7097076416015624,0.7902777,0.6512992
True,128,64,2,2.0,2,17,1.4728754,3.829633,5.2892215728759755,0.79070646,0.6577802
False,128,64,2,2.0,2,17,1.6900952,5.314216,4.642826747894286,0.8241792,0.7453174
True,128,64,2,2.0,2,18,1.6583055,3.568484,5.487678241729726,0.88302743,0.65748924
False,128,64,2,2.0,2,18,1.6808728,3.863293,3.9429709434509266,0.8680261,0.6885617
True,128,64,2,2.0,2,19,2.3744884,3.6224988,7.2505070686340325,1.1123413,0.72511756
False,128,64,2,2.0,2,19,2.3215966,5.8402033,5.819165039062499,1.0000501,0.8146027
True,128,64,2,2.0,2,20,1.3177555,3.2499301,4.26295127868652,0.77534044,0.6188086
False,128,64,2,2.0,2,20,1.4695606,3.8432095,4.387344503402701,0.7873553,0.6738081
True,128,64,2,2.0,2,21,1.7382762,3.2964816,5.417035865783684,0.91252977,0.649884
False,128,64,2,2.0,2,21,1.3517133,2.7964017,4.267871046066278,0.82092154,0.5457553
True,128,64,2,2.0,2,22,1.3695787,3.9048204,4.127180957794188,0.77617633,0.6235763
False,128,64,2,2.0,2,22,3.263872,6.2344017,12.25887336730956,1.2299141,0.9550459
True,128,64,2,2.0,2,23,2.05286,6.7404985,6.209625244140619,0.87566483,0.87298423
False,128,64,2,2.0,2,23,2.563988,4.94075,8.218587303161605,1.1152381,0.79257834
True,128,64,2,2.0,2,24,1.3780229,2.9242134,5.045478248596191,0.801811,0.60250336
False,128,64,2,2.0,2,24,1.8129163,4.8012347,5.668046760559082,0.87752736,0.7187564
True,128,64,2,2.0,2,25,1.8505269,5.5639515,6.146050453186029,0.84572023,0.80704474
False,128,64,2,2.0,2,25,2.3789406,6.3724117,7.143687152862533,1.0151522,0.8547793
True,128,64,2,2.0,2,26,1.3524268,2.8401573,4.454056549072265,0.7913861,0.5927709
False,128,64,2,2.0,2,26,1.7744224,5.0623264,4.602153110504136,0.8515997,0.72328025
True,128,64,2,2.0,2,27,1.8139249,3.7413282,5.980166053771971,0.91541255,0.67841387
False,128,64,2,2.0,2,27,2.0309007,6.5252914,5.767192935943581,0.8984534,0.7974594
True,128,64,2,2.0,2,28,1.4309886,3.000083,4.6971566200256305,0.80380875,0.64492613
False,128,64,2,2.0,2,28,2.619585,5.531375,8.014821052551264,1.1266661,0.8315051
True,128,64,2,2.0,2,29,1.3852525,3.9601212,3.5548254966735824,0.76517797,0.64213645
False,128,64,2,2.0,2,29,1.7583692,3.7652547,5.221457862853999,0.9401783,0.6613753
True,128,64,2,2.0,2,30,1.5289834,3.8253148,4.902194976806638,0.8140472,0.67512125
False,128,64,2,2.0,2,30,1.9319501,4.6134524,6.909087371826163,0.8892493,0.787975
True,128,64,2,2.0,2,31,1.6084118,4.5573134,5.10256547927855,0.8242799,0.70661974
False,128,64,2,2.0,2,31,2.8114202,6.4694757,8.03909587860106,1.1247042,0.8697635
True,128,64,2,2.0,2,32,1.8552606,4.749607,7.793471336364745,0.83758265,0.778341
False,128,64,2,2.0,2,32,2.1130366,3.780757,6.653614616394037,1.0232991,0.70941436
True,128,64,2,2.0,2,33,1.5844659,3.919935,4.479069805145263,0.8224694,0.68031275
False,128,64,2,2.0,2,33,1.9474964,5.4480505,5.5819421768188455,0.8995129,0.7547141
True,128,64,2,2.0,2,34,1.2473023,3.3351812,4.284708309173583,0.70353794,0.61665195
False,128,64,2,2.0,2,34,2.3419516,8.033046,5.905732345581052,0.912811,0.8837554
True,128,64,2,2.0,2,35,1.6801068,3.7873216,5.896711349487304,0.86360294,0.6764992
False,128,64,2,2.0,2,35,2.0134103,4.633788,5.146808815002442,0.99454194,0.72039115
True,128,64,2,2.0,2,36,1.6050745,6.023455,5.473714637756342,0.7737738,0.7449268
False,128,64,2,2.0,2,36,1.2205256,2.6621375,3.5087498664855934,0.7576764,0.55033016
True,128,64,2,2.0,2,37,1.5310782,3.7635498,4.4948115348815865,0.84820217,0.6466179
False,128,64,2,2.0,2,37,2.42502,4.6115594,6.894237327575683,1.1034383,0.76794827
True,128,64,2,2.0,2,38,1.5397546,2.988396,5.425824260711659,0.8507603,0.6187203
False,128,64,2,2.0,2,38,2.0808442,4.6107225,6.742905426025381,0.97568643,0.7580358
True,128,64,2,2.0,2,39,1.0904671,2.2626064,3.193233489990233,0.7337088,0.5094025
False,128,64,2,2.0,2,39,2.731751,5.280138,8.823044395446775,1.158719,0.80809796
True,128,64,2,2.0,2,40,1.9414248,5.109856,7.874222564697256,0.87877274,0.7992451
False,128,64,2,2.0,2,40,1.6690326,4.5311956,5.216362953186022,0.83469594,0.69764423
