symmetric,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,256,2,128.0,2,0,31.549576,57.593887,142.14923858642518,3.9029596,2.8897595
False,256,2,128.0,2,0,39.70435,100.40504,61.66962909698483,4.2699323,3.3293076
True,256,2,128.0,2,1,22.432436,35.062782,66.11771278381337,3.494107,2.19713
False,256,2,128.0,2,1,36.20481,109.67594,60.50875072479248,4.006337,3.2933156
True,256,2,128.0,2,2,24.070858,57.28415,50.01527023315428,3.5255606,2.3581853
False,256,2,128.0,2,2,40.752033,131.32317,71.31107959747301,4.207157,3.5829916
True,256,2,128.0,2,3,28.643345,48.63502,59.0362203598022,3.935825,2.1993263
False,256,2,128.0,2,3,52.487564,234.21404,71.19513854980461,4.1689954,4.7552614
True,256,2,128.0,2,4,24.992767,41.065617,91.34148483276353,3.5945141,2.4761226
False,256,2,128.0,2,4,38.31088,117.895836,59.45713367462156,4.1371484,3.3726566
True,256,2,128.0,2,5,40.001553,93.16932,91.91732559204097,4.342904,3.3082068
False,256,2,128.0,2,5,42.076385,151.48737,60.173167610168456,4.1730633,3.744525
True,256,2,128.0,2,6,21.94816,44.101078,49.6020360946655,3.3120198,2.2907717
False,256,2,128.0,2,6,36.49994,71.58012,77.88303985595701,4.2267685,2.9165814
True,256,2,128.0,2,7,31.728186,76.90303,68.27017364501945,3.8798347,3.0197403
False,256,2,128.0,2,7,22.804014,45.412373,53.01834430694567,3.4042888,2.2172723
True,256,2,128.0,2,8,27.767906,65.53245,54.91296806335442,3.6717668,2.7621677
False,256,2,128.0,2,8,54.51327,278.13562,82.03246612548811,4.26673,4.818434
True,256,2,128.0,2,9,30.024582,46.085228,100.32727813720692,3.975579,2.6793647
False,256,2,128.0,2,9,43.79105,142.15482,68.88033752441397,4.366114,3.7093782
True,256,2,128.0,2,10,33.834457,41.722492,78.03651161193844,4.4911056,2.3620136
False,256,2,128.0,2,10,42.651634,129.58868,69.03512306213378,4.312402,3.6440845
True,256,2,128.0,2,11,30.980621,66.11175,107.84785308837876,3.9347286,2.8941205
False,256,2,128.0,2,11,40.425823,73.454796,70.11791477203357,4.6313725,2.7958937
True,256,2,128.0,2,12,25.154713,32.597862,87.0376842498778,3.757059,2.234294
False,256,2,128.0,2,12,43.769176,148.36902,66.13220024108885,4.3289356,3.7237384
True,256,2,128.0,2,13,29.295984,36.69615,62.29841613769527,4.032708,2.099968
False,256,2,128.0,2,13,37.724422,79.25615,87.25325050353997,4.261168,3.0410993
True,256,2,128.0,2,14,36.49145,82.69138,67.81186370849609,4.1839123,2.9945838
False,256,2,128.0,2,14,35.604424,80.51943,65.27485790252679,4.1904,2.8971548
True,256,2,128.0,2,15,18.866446,22.55245,52.2125730514526,3.2790198,1.7902858
False,256,2,128.0,2,15,26.91128,66.805855,69.22249698638896,3.5013497,2.871789
True,256,2,128.0,2,16,24.281567,46.56185,57.95946502685545,3.6449409,2.182188
False,256,2,128.0,2,16,53.287735,257.22757,79.41427497863768,4.3791695,4.5744658
True,256,2,128.0,2,17,29.391626,61.81342,57.522326660156246,3.950257,2.4063532
False,256,2,128.0,2,17,62.462868,246.50772,138.00231971740655,4.851894,4.839571
True,256,2,128.0,2,18,25.566957,32.475666,76.4349624633789,3.8011887,2.1549873
False,256,2,128.0,2,18,63.570927,268.64716,68.28307342529294,4.8304467,4.9461293
True,256,2,128.0,2,19,24.543297,41.59749,84.25036048889147,3.516083,2.3805795
False,256,2,128.0,2,19,47.63648,99.34149,74.16671104431143,4.87935,3.3238406
