method,window,ratio,compressed_bits,mse,mae,input_dim
gorilla,0,1.120656634746922,3655,0.0,0.0,128
gorilla,1,1.083884625562318,3779,0.0,0.0,128
gorilla,2,1.2043516612760952,3401,0.0,0.0,128
gorilla,3,1.016377171215881,4030,0.0,0.0,128
gorilla,4,1.2132701421800949,3376,0.0,0.0,128
gorilla,5,1.104638619201726,3708,0.0,0.0,128
gorilla,6,1.158371040723982,3536,0.0,0.0,128
gorilla,7,0.9987807851743478,4101,0.0,0.0,128
gorilla,8,1.2329921733895244,3322,0.0,0.0,128
gorilla,9,1.238210399032648,3308,0.0,0.0,128
gorilla,10,1.0014669926650366,4090,0.0,0.0,128
gorilla,11,1.2226865671641791,3350,0.0,0.0,128
gorilla,12,0.9985372988785958,4102,0.0,0.0,128
gorilla,13,1.2560564244096903,3261,0.0,0.0,128
gorilla,14,1.0711297071129706,3824,0.0,0.0,128
gorilla,15,1.1286855883163407,3629,0.0,0.0,128
gorilla,16,1.0581245156290364,3871,0.0,0.0,128
gorilla,17,0.9630848812602869,4253,0.0,0.0,128
gorilla,18,1.0669445168012504,3839,0.0,0.0,128
gorilla,19,1.2241482367005379,3346,0.0,0.0,128
gorilla,20,1.2100443131462333,3385,0.0,0.0,128
gorilla,21,1.0603158167227544,3863,0.0,0.0,128
gorilla,22,1.2506870229007634,3275,0.0,0.0,128
gorilla,23,0.9538891476478808,4294,0.0,0.0,128
gorilla,24,0.9678638941398866,4232,0.0,0.0,128
gorilla,25,1.2197736748064325,3358,0.0,0.0,128
gorilla,26,1.2525993883792048,3270,0.0,0.0,128
gorilla,27,0.9717674970344009,4215,0.0,0.0,128
gorilla,28,1.0086185668554544,4061,0.0,0.0,128
gorilla,29,1.0054000981836033,4074,0.0,0.0,128
gorilla,30,0.962179938924125,4257,0.0,0.0,128
gorilla,31,0.9383734249713631,4365,0.0,0.0,128
gorilla,32,1.186902347145755,3451,0.0,0.0,128
gorilla,33,1.3073731248005107,3133,0.0,0.0,128
gorilla,34,1.2278177458033572,3336,0.0,0.0,128
gorilla,35,1.2285542891421715,3334,0.0,0.0,128
gorilla,36,1.132430190765828,3617,0.0,0.0,128
gorilla,37,1.2728402734617774,3218,0.0,0.0,128
gorilla,38,1.1040431266846362,3710,0.0,0.0,128
gorilla,39,1.12157721796276,3652,0.0,0.0,128
gorilla,40,0.9532231789620665,4297,0.0,0.0,128
gorilla,41,1.2118343195266272,3380,0.0,0.0,128
gorilla,42,1.2318796992481202,3325,0.0,0.0,128
gorilla,43,1.2618607516943932,3246,0.0,0.0,128
gorilla,44,1.2756150731859235,3211,0.0,0.0,128
gorilla,45,1.1987123207491952,3417,0.0,0.0,128
gorilla,46,1.010609425117197,4053,0.0,0.0,128
gorilla,47,1.210759680756725,3383,0.0,0.0,128
gorilla,48,1.0821664464993395,3785,0.0,0.0,128
gorilla,49,1.2828061384278109,3193,0.0,0.0,128
gorilla,50,1.2004689331770222,3412,0.0,0.0,128
gorilla,51,1.098123324396783,3730,0.0,0.0,128
gorilla,52,1.2400847714199212,3303,0.0,0.0,128
gorilla,53,1.1642978965321205,3518,0.0,0.0,128
gorilla,54,1.0143635463100544,4038,0.0,0.0,128
gorilla,55,0.9532231789620665,4297,0.0,0.0,128
gorilla,56,1.222321695016413,3351,0.0,0.0,128
gorilla,57,1.271260086902545,3222,0.0,0.0,128
gorilla,58,1.0319979843789369,3969,0.0,0.0,128
gorilla,59,1.28240450845335,3194,0.0,0.0,128
gorilla,60,1.0583979328165374,3870,0.0,0.0,128
gorilla,61,1.2114758947057083,3381,0.0,0.0,128
gorilla,62,0.9886555636012552,4143,0.0,0.0,128
gorilla,63,1.0564869744647924,3877,0.0,0.0,128
gorilla,64,1.235968617984309,3314,0.0,0.0,128
gorilla,65,1.2197736748064325,3358,0.0,0.0,128
gorilla,66,0.9715370018975332,4216,0.0,0.0,128
gorilla,67,1.2018779342723005,3408,0.0,0.0,128
gorilla,68,1.2412121212121212,3300,0.0,0.0,128
gorilla,69,1.1920838183934808,3436,0.0,0.0,128
gorilla,70,1.3040432983126393,3141,0.0,0.0,128
gorilla,71,1.1941690962099125,3430,0.0,0.0,128
gorilla,72,1.2828061384278109,3193,0.0,0.0,128
gorilla,73,1.2089728453364816,3388,0.0,0.0,128
gorilla,74,1.188279663475486,3447,0.0,0.0,128
gorilla,75,1.1274428846683182,3633,0.0,0.0,128
gorilla,76,1.2267145852051513,3339,0.0,0.0,128
gorilla,77,1.2150697122515575,3371,0.0,0.0,128
gorilla,78,1.2610837438423645,3248,0.0,0.0,128
gorilla,79,1.0448979591836736,3920,0.0,0.0,128
gorilla,80,0.9565623540401681,4282,0.0,0.0,128
gorilla,81,1.208259587020649,3390,0.0,0.0,128
gorilla,82,1.245742092457421,3288,0.0,0.0,128
gorilla,83,1.1875906059727457,3449,0.0,0.0,128
gorilla,84,1.2681114551083592,3230,0.0,0.0,128
gorilla,85,1.24954240390482,3278,0.0,0.0,128
gorilla,86,1.0066355369869746,4069,0.0,0.0,128
gorilla,87,1.0093642188270084,4058,0.0,0.0,128
gorilla,88,1.208259587020649,3390,0.0,0.0,128
gorilla,89,0.997078870496592,4108,0.0,0.0,128
gorilla,90,1.0702900444212176,3827,0.0,0.0,128
gorilla,91,0.9917675544794189,4130,0.0,0.0,128
gorilla,92,0.9862749819407657,4153,0.0,0.0,128
gorilla,93,1.3115593980147293,3123,0.0,0.0,128
gorilla,94,1.241588360109124,3299,0.0,0.0,128
gorilla,95,1.0026927784577724,4085,0.0,0.0,128
gorilla,96,0.9903288201160542,4136,0.0,0.0,128
gorilla,97,1.1875906059727457,3449,0.0,0.0,128
gorilla,98,1.2318796992481202,3325,0.0,0.0,128
gorilla,99,1.2018779342723005,3408,0.0,0.0,128
gorilla,100,1.1016675632060247,3718,0.0,0.0,128
gorilla,101,1.2430955993930197,3295,0.0,0.0,128
gorilla,102,1.1941690962099125,3430,0.0,0.0,128
gorilla,103,1.2248803827751196,3344,0.0,0.0,128
gorilla,104,1.2370884929024464,3311,0.0,0.0,128
gorilla,105,1.238210399032648,3308,0.0,0.0,128
gorilla,106,1.152504220596511,3554,0.0,0.0,128
gorilla,107,1.1073263044065964,3699,0.0,0.0,128
gorilla,108,0.9671782762691854,4235,0.0,0.0,128
gorilla,109,1.1903516419645452,3441,0.0,0.0,128
gorilla,110,1.2510690287110569,3274,0.0,0.0,128
gorilla,111,1.2378362042913267,3309,0.0,0.0,128
gorilla,112,1.2150697122515575,3371,0.0,0.0,128
gorilla,113,1.1160762942779292,3670,0.0,0.0,128
gorilla,114,0.993933511283669,4121,0.0,0.0,128
gorilla,115,1.2374622356495468,3310,0.0,0.0,128
gorilla,116,1.002447381302007,4086,0.0,0.0,128
gorilla,117,1.178705035971223,3475,0.0,0.0,128
gorilla,118,1.2241482367005379,3346,0.0,0.0,128
gorilla,119,1.2154302670623145,3370,0.0,0.0,128
gorilla,120,1.249161329673681,3279,0.0,0.0,128
gorilla,121,1.2318796992481202,3325,0.0,0.0,128
gorilla,122,1.2533659730722153,3268,0.0,0.0,128
gorilla,123,1.2465003043213634,3286,0.0,0.0,128
gorilla,124,1.2281859070464767,3335,0.0,0.0,128
gorilla,125,0.968321513002364,4230,0.0,0.0,128
gorilla,126,0.9617281051890115,4259,0.0,0.0,128
gorilla,127,1.0260521042084167,3992,0.0,0.0,128
gorilla,128,1.016125031009675,4031,0.0,0.0,128
gorilla,129,1.1807437301816086,3469,0.0,0.0,128
gorilla,130,1.0473024801840962,3911,0.0,0.0,128
gorilla,131,1.2545176110260337,3265,0.0,0.0,128
gorilla,132,1.150561797752809,3560,0.0,0.0,128
gorilla,133,1.31072,3125,0.0,0.0,128
gorilla,134,1.2307692307692308,3328,0.0,0.0,128
gorilla,135,1.2001171989452095,3413,0.0,0.0,128
gorilla,136,1.2201370271075365,3357,0.0,0.0,128
gorilla,137,1.2071912761567933,3393,0.0,0.0,128
gorilla,138,0.9752380952380952,4200,0.0,0.0,128
gorilla,139,0.9648998822143698,4245,0.0,0.0,128
gorilla,140,1.2071912761567933,3393,0.0,0.0,128
gorilla,141,0.9453034848834526,4333,0.0,0.0,128
gorilla,142,0.9594752869524479,4269,0.0,0.0,128
gorilla,143,1.2941548183254343,3165,0.0,0.0,128
gorilla,144,1.052685684913904,3891,0.0,0.0,128
gorilla,145,1.2525993883792048,3270,0.0,0.0,128
gorilla,146,1.2468797564687977,3285,0.0,0.0,128
gorilla,147,1.1633058790116444,3521,0.0,0.0,128
gorilla,148,0.9829613630909527,4167,0.0,0.0,128
gorilla,149,1.0456982384477918,3917,0.0,0.0,128
gorilla,150,1.1330567081604426,3615,0.0,0.0,128
gorilla,151,0.9635379910609269,4251,0.0,0.0,128
gorilla,152,1.0425044540595572,3929,0.0,0.0,128
gorilla,153,1.182106782106782,3465,0.0,0.0,128
gorilla,154,0.9658099504833766,4241,0.0,0.0,128
gorilla,155,1.245363332319854,3289,0.0,0.0,128
gorilla,156,1.2168746286393346,3366,0.0,0.0,128
gorilla,157,1.0619652579725174,3857,0.0,0.0,128
gorilla,158,1.257985257985258,3256,0.0,0.0,128
gorilla,159,0.9470520231213873,4325,0.0,0.0,128
gorilla,160,1.1980111143609242,3419,0.0,0.0,128
gorilla,161,1.208259587020649,3390,0.0,0.0,128
gorilla,162,1.068057366362451,3835,0.0,0.0,128
gorilla,163,1.009861932938856,4056,0.0,0.0,128
gorilla,164,1.2183224271267104,3362,0.0,0.0,128
gorilla,165,0.9444316347705788,4337,0.0,0.0,128
gorilla,166,1.2256134051466188,3342,0.0,0.0,128
gorilla,167,1.2912988650693569,3172,0.0,0.0,128
gorilla,168,1.037224613826285,3949,0.0,0.0,128
gorilla,169,1.2311391644123835,3327,0.0,0.0,128
gorilla,170,1.099302200751476,3726,0.0,0.0,128
gorilla,171,1.020682780961874,4013,0.0,0.0,128
gorilla,172,1.2622496147919877,3245,0.0,0.0,128
gorilla,173,1.0567595459236325,3876,0.0,0.0,128
gorilla,174,1.1483038968320718,3567,0.0,0.0,128
gorilla,175,1.0148662041625371,4036,0.0,0.0,128
gorilla,176,0.9973216459702946,4107,0.0,0.0,128
gorilla,177,0.9696969696969697,4224,0.0,0.0,128
gorilla,178,0.9968362131905573,4109,0.0,0.0,128
gorilla,179,1.2114758947057083,3381,0.0,0.0,128
gorilla,180,1.0850331125827815,3775,0.0,0.0,128
gorilla,181,1.2004689331770222,3412,0.0,0.0,128
gorilla,182,0.9822541966426859,4170,0.0,0.0,128
gorilla,183,0.9922480620155039,4128,0.0,0.0,128
gorilla,184,1.1994143484626647,3415,0.0,0.0,128
gorilla,185,0.9633113828786454,4252,0.0,0.0,128
gorilla,186,1.1483038968320718,3567,0.0,0.0,128
gorilla,187,1.1148611867174743,3674,0.0,0.0,128
gorilla,188,1.270077519379845,3225,0.0,0.0,128
gorilla,189,1.2172362555720653,3365,0.0,0.0,128
gorilla,190,1.3145057766367136,3116,0.0,0.0,128
gorilla,191,1.1924308588064048,3435,0.0,0.0,128
gorilla,192,0.9523366658916531,4301,0.0,0.0,128
gorilla,193,1.1200437517090511,3657,0.0,0.0,128
gorilla,194,0.954111344048451,4293,0.0,0.0,128
