method,window,k,ratio,compressed_bits,theoretical_bits,mse,mae,input_dim
rice_golomb,0,6,3.9498553519768564,1037,1037,8.689938e-12,2.3767352e-06,128
rice_golomb,1,6,3.8280373831775703,1070,1070,3.0633274e-12,1.4901161e-06,128
rice_golomb,2,4,5.0257668711656445,815,815,2.2915003e-13,2.8684735e-07,128
rice_golomb,3,6,4.1001001001001,999,999,1.1510792e-12,8.34465e-07,128
rice_golomb,4,6,3.9844357976653697,1028,1028,1.3073986e-12,7.748604e-07,128
rice_golomb,5,6,4.051434223541048,1011,1011,4.3477444e-12,1.7238781e-06,128
rice_golomb,6,6,3.9613152804642167,1034,1034,2.9061198e-12,1.0952353e-06,128
rice_golomb,7,5,4.22703818369453,969,969,2.4709124e-12,1.3448298e-06,128
rice_golomb,8,6,4.149949341438703,987,987,4.618528e-13,4.3958426e-07,128
rice_golomb,9,5,4.437703141928494,923,923,9.243231e-13,7.634517e-07,128
rice_golomb,10,6,3.9844357976653697,1028,1028,2.4158453e-12,1.1473894e-06,128
rice_golomb,11,5,4.1924257932446265,977,977,7.5395246e-13,4.945323e-07,128
rice_golomb,12,4,5.178255372945639,791,791,4.400924e-13,5.7555735e-07,128
rice_golomb,13,6,4.047430830039525,1012,1012,1.1958878e-11,2.7474016e-06,128
rice_golomb,14,6,3.8824644549763034,1055,1055,1.5205615e-12,8.791685e-07,128
rice_golomb,15,7,3.6604110813226094,1119,1119,9.023893e-13,5.5879354e-07,128
rice_golomb,16,5,4.8530805687203795,844,844,9.316992e-13,6.7800283e-07,128
rice_golomb,17,6,4.145748987854251,988,988,3.587164e-11,5.075708e-06,128
rice_golomb,18,6,3.8751182592242195,1057,1057,1.463718e-12,9.536743e-07,128
rice_golomb,19,6,4.083748753738783,1003,1003,3.7658765e-13,4.246831e-07,128
rice_golomb,20,5,4.6811428571428575,875,875,6.927792e-14,1.2293458e-07,128
rice_golomb,21,6,3.957487922705314,1035,1035,5.133671e-13,3.9115548e-07,128
rice_golomb,22,6,3.934678194044188,1041,1041,4.902745e-13,3.2037497e-07,128
rice_golomb,23,6,3.900952380952381,1050,1050,4.03233e-13,3.1664968e-07,128
rice_golomb,24,6,4.108324974924774,997,997,7.7182705e-13,6.593764e-07,128
rice_golomb,25,5,4.235780765253361,967,967,5.551115e-13,4.954636e-07,128
